maintenance_id,start_time,end_time,machine_id,line_id,technician_id,maintenance_type_id,related_failure_id,duration_minutes,labor_cost,parts_cost,part_id,part_quantity,total_cost
1,2022-01-11 14:23:00,2022-01-11 14:46:00,4,1,6,1,,23,123,0,,0,123
2,2022-01-12 15:59:00,2022-01-12 16:38:00,7,2,7,1,,39,228,4200,6,1,4428
3,2022-01-13 10:01:00,2022-01-13 10:58:00,10,3,9,1,,57,370,0,,0,370
4,2022-01-14 08:28:00,2022-01-14 09:21:00,9,3,2,1,,53,327,0,,0,327
5,2022-01-14 13:23:00,2022-01-14 13:59:00,12,3,8,1,,36,252,42000,16,1,42252
6,2022-01-14 17:38:00,2022-01-14 18:09:00,11,3,2,1,,31,191,0,,0,191
7,2022-01-14 18:14:00,2022-01-14 18:41:00,1,1,6,1,,27,144,0,,0,144
8,2022-01-15 06:54:00,2022-01-15 07:48:00,5,2,7,1,,54,315,0,,0,315
9,2022-01-15 17:10:00,2022-01-15 18:08:00,8,2,5,1,,58,338,0,,0,338
10,2022-01-15 18:11:00,2022-01-15 19:01:00,2,1,3,1,,50,292,0,,0,292
11,2022-01-15 18:31:00,2022-01-15 19:26:00,6,2,2,1,,55,339,0,,0,339
12,2022-01-15 19:59:00,2022-01-15 20:48:00,3,1,4,1,,49,261,0,,0,261
13,2022-01-24 21:41:00,2022-01-24 22:30:00,11,3,4,1,,49,261,0,,0,261
14,2022-01-25 07:06:00,2022-01-25 07:41:00,7,2,4,1,,35,187,0,,0,187
15,2022-01-25 08:22:00,2022-01-25 08:52:00,1,1,9,1,,30,195,60000,18,1,60195
16,2022-01-25 10:42:00,2022-01-25 11:07:00,4,1,8,1,,25,175,0,,0,175
17,2022-01-26 07:00:00,2022-01-26 07:54:00,12,3,5,1,,54,315,0,,0,315
18,2022-01-26 07:59:00,2022-01-26 08:55:00,10,3,3,1,,56,327,38000,19,1,38327
19,2022-01-26 16:52:00,2022-01-26 17:27:00,9,3,3,1,,35,204,900,3,1,1104
20,2022-01-27 06:27:00,2022-01-27 07:10:00,8,2,4,1,,43,229,0,,0,229
21,2022-01-27 06:59:00,2022-01-27 07:29:00,6,2,6,1,,30,160,0,,0,160
22,2022-01-29 08:49:00,2022-01-29 09:43:00,2,1,8,1,,54,378,0,,0,378
23,2022-01-29 10:04:00,2022-01-29 10:42:00,3,1,5,1,,38,222,0,,0,222
24,2022-01-29 10:58:00,2022-01-29 11:22:00,5,2,2,1,,24,148,38000,19,1,38148
25,2022-02-05 07:49:00,2022-02-05 08:15:00,11,3,3,1,,26,152,0,,0,152
26,2022-02-06 12:07:00,2022-02-06 12:39:00,9,3,9,1,,32,208,0,,0,208
27,2022-02-06 19:12:00,2022-02-06 20:05:00,4,1,10,1,,53,344,0,,0,344
28,2022-02-06 20:21:00,2022-02-06 20:51:00,10,3,10,1,,30,195,0,,0,195
29,2022-02-07 21:49:00,2022-02-08 00:00:00,11,3,6,2,1,131,699,37000,10,2,37699
30,2022-02-08 08:13:00,2022-02-08 08:44:00,5,2,5,1,,31,181,55000,17,1,55181
31,2022-02-08 08:26:00,2022-02-08 09:25:00,7,2,7,1,,59,344,0,,0,344
32,2022-02-08 09:39:00,2022-02-08 10:22:00,1,1,4,1,,43,229,0,,0,229
33,2022-02-08 15:07:00,2022-02-08 15:55:00,2,1,3,1,,48,280,0,,0,280
34,2022-02-08 18:41:00,2022-02-08 19:25:00,3,1,3,1,,44,257,0,,0,257
35,2022-02-09 11:57:00,2022-02-09 12:30:00,12,3,6,1,,33,176,0,,0,176
36,2022-02-09 21:54:00,2022-02-09 22:39:00,6,2,5,1,,45,262,2400,2,1,2662
37,2022-02-10 20:33:00,2022-02-10 21:03:00,8,2,5,1,,30,175,0,,0,175
38,2022-02-12 07:39:00,2022-02-12 16:00:00,9,3,10,2,2,501,3256,1200,4,1,4456
39,2022-02-12 12:16:00,2022-02-12 19:00:00,7,2,8,2,3,404,2828,12500,9,1,15328
40,2022-02-16 06:40:00,2022-02-16 12:00:00,6,2,11,2,4,320,4533,38000,19,1,42533
41,2022-02-17 09:49:00,2022-02-17 10:46:00,11,3,9,1,,57,370,0,,0,370
42,2022-02-18 17:00:00,2022-02-18 17:27:00,7,2,6,1,,27,144,0,,0,144
43,2022-02-19 09:58:00,2022-02-19 10:25:00,4,1,5,1,,27,158,0,,0,158
44,2022-02-19 20:29:00,2022-02-19 20:49:00,9,3,8,1,,20,140,42000,16,1,42140
45,2022-02-20 09:21:00,2022-02-20 09:47:00,10,3,7,1,,26,152,0,,0,152
46,2022-02-20 09:47:00,2022-02-20 10:24:00,6,2,9,1,,37,240,0,,0,240
47,2022-02-20 14:06:00,2022-02-20 14:29:00,2,1,6,1,,23,123,0,,0,123
48,2022-02-20 18:37:00,2022-02-20 19:29:00,3,1,8,1,,52,364,0,,0,364
49,2022-02-21 20:43:00,2022-02-22 00:00:00,2,1,2,2,5,197,1215,42000,16,1,43215
50,2022-02-22 07:23:00,2022-02-22 08:16:00,5,2,10,1,,53,344,0,,0,344
51,2022-02-22 07:23:00,2022-02-22 08:12:00,1,1,7,1,,49,286,44000,11,2,44286
52,2022-02-22 13:40:00,2022-02-22 17:00:00,3,1,3,2,6,200,1167,0,,0,1167
53,2022-02-22 13:58:00,2022-02-22 14:33:00,12,3,5,1,,35,204,0,,0,204
54,2022-02-22 18:16:00,2022-02-22 19:10:00,8,2,3,1,,54,315,0,,0,315
